"id_norma_modificatoria","id_norma_modificada","tipo_norma","nro_norma","clase_norma","organismo_origen","fecha_boletin","titulo_sumario","titulo_resumido"
"375161","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375162","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375163","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375164","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375165","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375166","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375167","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375168","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375169","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375170","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375171","351449","Resolución","689","","ENTE NACIONAL DE COMUNICACIONES","2021-06-30","ENTE NACIONAL DE COMUNICACIONES","CONCURSO PUBLICO - LLAMADO"
"375172","351449","Resolución","689","","ENTE NACIONAL DE COMUNICACIONES","2021-06-30","ENTE NACIONAL DE COMUNICACIONES","CONCURSO PUBLICO - LLAMADO"
"375173","368603","Resolución","1509","","ENTE NACIONAL DE COMUNICACIONES","2022-07-26","ENTE NACIONAL DE COMUNICACIONES","CONCURSOS PUBLICOS - DECLARANSE DESIERTOS"
"375175","353098","Resolución","1045","","ENTE NACIONAL DE COMUNICACIONES","2021-08-18","ENTE NACIONAL DE COMUNICACIONES","CONCURSO PUBLICO - LLAMADO"
"375176","353098","Resolución","1045","","ENTE NACIONAL DE COMUNICACIONES","2021-08-18","ENTE NACIONAL DE COMUNICACIONES","CONCURSO PUBLICO - LLAMADO"
"375177","305406","Resolución","697","E","MINISTERIO DE MODERNIZACION","2018-01-02","MINISTERIO DE MODERNIZACION","REGLAMENTO DE LICENCIAS PARA SERVICIOS DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES"
"375178","305406","Resolución","697","E","MINISTERIO DE MODERNIZACION","2018-01-02","MINISTERIO DE MODERNIZACION","REGLAMENTO DE LICENCIAS PARA SERVICIOS DE TECNOLOGIAS DE LA INFORMACION Y LAS COMUNICACIONES"
"375183","351449","Resolución","689","","ENTE NACIONAL DE COMUNICACIONES","2021-06-30","ENTE NACIONAL DE COMUNICACIONES","CONCURSO PUBLICO - LLAMADO"
"375184","353098","Resolución","1045","","ENTE NACIONAL DE COMUNICACIONES","2021-08-18","ENTE NACIONAL DE COMUNICACIONES","CONCURSO PUBLICO - LLAMADO"
"375185","353098","Resolución","1045","","ENTE NACIONAL DE COMUNICACIONES","2021-08-18","ENTE NACIONAL DE COMUNICACIONES","CONCURSO PUBLICO - LLAMADO"
"375186","351449","Resolución","689","","ENTE NACIONAL DE COMUNICACIONES","2021-06-30","ENTE NACIONAL DE COMUNICACIONES","CONCURSO PUBLICO - LLAMADO"
"375196","356379","Resolución","1720","","ENTE NACIONAL DE COMUNICACIONES","2021-11-08","ENTE NACIONAL DE COMUNICACIONES","PROGRAMA NACIONAL DE FORMACION Y CAPACITACION PARA INSTALACION DE REDES"
"375197","17938","Ley","17741","","PODER EJECUTIVO NACIONAL (P.E.N.)","1968-05-30","CINEMATOGRAFIA","CINE NACIONAL"
"375197","224695","Resolución","3785","","INSTITUTO NACIONAL DE CINE Y ARTES AUDIOVISUALES","2014-01-08","INSTITUTO NACIONAL DE CINE Y ARTES AUDIOVISUALES","REGLAMENTO Y ANEXOS - APROBACION"
"375197","347836","Resolución","266","","INSTITUTO NACIONAL DE CINE Y ARTES AUDIOVISUALES","2021-03-12","INSTITUTO NACIONAL DE CINE Y ARTES AUDIOVISUALES","VALOR DEL BOLETO OFICIAL CINEMATOGRAFICO GENERAL"
"375197","348158","Resolución","300","","INSTITUTO NACIONAL DE CINE Y ARTES AUDIOVISUALES","2021-03-23","INSTITUTO NACIONAL DE CINE Y ARTES AUDIOVISUALES","SISTEMA DE VIDEO A DEMANDA - APROBACION MONTO"
"375198","356048","Resolución","117","","SECRETARIA DE GESTION Y EMPLEO PUBLICO","2021-10-29","JEFATURA DE GABINETE DE MINISTROS","COBERTURA DE CARGOS - INICIESE PROCESO"
"375199","14016","Decreto","1513","","PODER EJECUTIVO NACIONAL (P.E.N.)","1993-07-22","PREMIO NACIONAL A LA CALIDAD","DECLARASE DE INTERES NACIONAL"
"375199","362191","Resolución","44","","SECRETARIA DE GESTION Y EMPLEO PUBLICO","2022-03-15","JEFATURA DE GABINETE DE MINISTROS","CONVOCATORIA - LLAMADO"
"375200","79980","Ley","25675","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2002-11-28","POLITICA AMBIENTAL NACIONAL","PRESUPUESTO MINIMOS PARA GESTION SUSTENTABLE"
"375201","311356","Resolución","358","","MINISTERIO DE AMBIENTE Y DESARROLLO SUSTENTABLE","2018-06-11","MINISTERIO DE AMBIENTE Y DESARROLLO SUSTENTABLE","PRIMER INVENTARIO NACIONAL DE GLACIARES DE LA REPUBLICA ARGENTINA - PUBLIQUESE"
"375204","365581","Resolución","620","","MINISTERIO DE DESARROLLO SOCIAL","2022-05-31","MINISTERIO DE DESARROLLO SOCIAL","PROCESO REGIMEN DE VALORACION POR EVALUACION Y MERITO - INICIO"
"375205","350420","Resolución","309","","SECRETARIA DE INDUSTRIA ECONOMIA DEL CONOCIMIENTO Y GESTION","2021-05-31","MINISTERIO DE DESARROLLO PRODUCTIVO","PROGRAMA 'POTENCIAR ECONOMIA DEL CONOCIMIENTO' - CREASE"
"375206","66780","Decisión Administrativa","46","","JEFATURA DE GABINETE DE MINISTROS","2001-04-26","INSPECCION GENERAL DE JUSTICIA","TASAS RETRIBUTIVAS DE SERVICIOS - VALORES -"
"375207","114866","Decreto","304","DNU","PODER EJECUTIVO NACIONAL (P.E.N.)","2006-03-22","SERVICIOS PUBLICOS","AGUA Y SANEAMIENTOS ARGENTINOS S.A. - CONSTITUCION"
"375208","343208","Decisión Administrativa","1862","","JEFATURA DE GABINETE DE MINISTROS","2020-10-16","MINISTERIO DE SALUD","DESIGNACION"
"375209","361345","Resolución","5","Conjunta","SECRETARIA DE HACIENDA","2022-02-25","SISTEMA NACIONAL DE EMPLEO PUBLICO,","NOMENCLADOR DE FUNCIONES ESPECIFICAS - INCORPORACION"
"375209","361345","Resolución","5","Conjunta","SECRETARIA DE GESTION Y EMPLEO PUBLICO","2022-02-25","SISTEMA NACIONAL DE EMPLEO PUBLICO,","NOMENCLADOR DE FUNCIONES ESPECIFICAS - INCORPORACION"
"375209","364107","Resolución","75","","SECRETARIA DE GESTION Y EMPLEO PUBLICO","2022-05-02","JEFATURA DE GABINETE DE MINISTROS","REGIMEN PARA LA ASIGNACION DEL SUPLEMENTO POR FUNCION ESPECIFICA"
"375209","366643","Resolución","356","","MINISTERIO DE SEGURIDAD","2022-06-21","MINISTERIO DE SEGURIDAD","REGIMEN DE VALORACION POR EVALUACION Y MERITO - INICIO"
"375210","364378","Decreto","253","","PODER EJECUTIVO NACIONAL (P.E.N.)","2022-05-09","SECRETARIA DE ASUNTOS ESTRATEGICOS","DESIGNACION"
"375211","100156","Resolución","1752","GENERAL","ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS","2004-10-21","SISTEMA UNICO DE LA SEGURIDAD SOCIAL","DECRETO 217/03 - SISTEMA INFORMATICO MIS APORTES"
"375211","204516","Resolución","3398","GENERAL","ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS","2012-11-09","SEGURIDAD SOCIAL","SISTEMA INFORMATICO 'MIS APORTES' - CONSULTA PAGOS"
"375211","271486","Decreto","87","","PODER EJECUTIVO NACIONAL (P.E.N.)","2017-02-03","PLATAFORMA DIGITAL DEL SECTOR PUBLICO NACIONAL","CREACION"
"375212","249837","Resolución","7","GENERAL","INSPECCION GENERAL DE JUSTICIA","2015-07-31","INSPECCION GENERAL DE JUSTICIA","NORMAS - APROBACION"
"375213","374671","Resolución","823","","MINISTERIO DE ECONOMIA","2022-11-11","MINISTERIO DE ECONOMIA","PROGRAMA 'PRECIOS JUSTOS' - CREASE"
"375214","329322","Resolución","105","","SECRETARIA DE ALIMENTOS Y BIOECONOMIA","2019-10-01","MINISTERIO DE PRODUCCION Y TRABAJO","PLAN DE ACCION PARA EL SECTOR DE LOS BIOINSUMOS DE USO AGROPECUARIO"
"375214","348805","Resolución","41","","SECRETARIA DE ALIMENTOS BIOECONOMIA Y DESARROLLO REGIONAL","2021-04-16","MINISTERIO DE AGRICULTURA, GANADERIA Y PESCA","COMITE ASESOR EN BIOINSUMOS DE USO AGROPECUARIO - MODIFICACION"
"375215","140098","Ley","26363","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2008-04-30","TRANSITO Y SEGURIDAD VIAL","AGENCIA NACIONAL DE SEGURIDAD VIAL - CREACION"
"375216","140098","Ley","26363","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2008-04-30","TRANSITO Y SEGURIDAD VIAL","AGENCIA NACIONAL DE SEGURIDAD VIAL - CREACION"
"375217","201412","Disposición","380","","AGENCIA NACIONAL DE SEGURIDAD VIAL","2012-08-29","AGENCIA NACIONAL DE SEGURIDAD VIAL","REGISTRO DE ESTABLECIMIENTOS PRESTADORES DE CAPACITACION - CREACION"
"375218","357011","Resolución","864","","JEFATURA DE GABINETE DE MINISTROS","2021-11-23","JEFATURA DE GABINETE DE MINISTROS","PLAN NACIONAL DE JUVENTUDES"
"375219","177687","Resolución","2186","","SECRETARIA DE EMPLEO","2011-01-07","PROMOCION DEL EMPLEO","REGLAMENTO DEL PROGRAMA DE INSERCION LABORAL - APROBACION"
"375219","363798","Disposición","10","","SUBSECRETARIA DE PROMOCION DEL EMPLEO","2022-04-21","MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL","PROCEDIMIENTO DE ACCESO AL PROGRAMA DE INSERCION LABORAL - APROBACION"
"375220","117238","Ley","26102","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2006-06-22","LEY DE SEGURIDAD AEROPORTUARIA","SISTEMA DE SEGURIDAD AEROPORTUARIA"
"375221","117238","Ley","26102","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2006-06-22","LEY DE SEGURIDAD AEROPORTUARIA","SISTEMA DE SEGURIDAD AEROPORTUARIA"
"375221","307644","Disposición","204","","POLICIA DE SEGURIDAD AEROPORTUARIA","2018-03-09","POLICIA DE SEGURIDAD AEROPORTUARIA","REGLAMENTO DE SEGURIDAD DE LA AVIACION RSA N° 8"
"375222","117238","Ley","26102","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2006-06-22","LEY DE SEGURIDAD AEROPORTUARIA","SISTEMA DE SEGURIDAD AEROPORTUARIA"
"375222","164048","Disposición","74","","POLICIA DE SEGURIDAD AEROPORTUARIA","2010-02-10","POLICIA DE SEGURIDAD AEROPORTUARIA","PROGRAMA NACIONAL DE SEGURIDAD DE LA AVIACION CIVIL DE LA REPUBLICA ARGENTINA - APROBACION"
"375223","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375224","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375225","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375226","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375227","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375228","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375229","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375230","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375231","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375232","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375233","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375234","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375235","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375236","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375237","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375238","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375239","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375240","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375241","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375242","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375243","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375244","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375245","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375246","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375247","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375263","554","Ley","24156","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1992-10-29","ADMINISTRACION FINANCIERA Y SISTEMAS DE CONTROL","DISPOSICIONES GENERALES"
"375263","345117","Ley","27591","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2020-12-14","PRESUPUESTO ADMINISTRACION NACIONAL","DISPOSICIONES"
"375263","350986","Decreto","389","DNU","PODER EJECUTIVO NACIONAL (P.E.N.)","2021-06-16","SECTOR ENERGETICO","DISPOSICIONES"
"375264","281835","Ley","27399","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2017-10-18","LEY DE ESTABLECIMIENTO DE FERIADOS Y FINES DE SEMANAS LARGOS","FERIADOS NACIONALES Y DIAS NO LABORABLES"
"375271","39880","Ley","24714","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1996-10-18","ASIGNACIONES FAMILIARES","NUEVO REGIMEN - APROBACION"
"375271","370473","Resolución","202","","ADMINISTRACION NACIONAL DE LA SEGURIDAD SOCIAL","2022-08-29","ADMINISTRACION NACIONAL DE LA SEGURIDAD SOCIAL","RANGOS DE INGRESOS - INCREMENTO"
"375272","639","Ley","24241","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1993-10-18","SISTEMA INTEGRADO DE JUBILACIONES Y PENSIONES","CREACION"
"375272","145867","Ley","26417","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2008-10-16","PRESTACIONES PREVISIONALES","MOVILIDAD DE LAS PRESTACIONES DEL REGIMEN PREVISIONAL PUBLICO"
"375272","263691","Ley","27260","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2016-07-22","REPARACION HISTORICA  PARA JUBILADOS Y PENSIONADOS","PROGRAMA NACIONAL - CREACION"
"375273","39520","Ley","17418","","PODER EJECUTIVO NACIONAL (P.E.N.)","1967-09-06","SEGUROS","CODIGO COMERCIO"
"375273","16536","Ley","22415","","PODER EJECUTIVO NACIONAL (P.E.N.)","1981-03-23","CODIGO ADUANERO","SU APROBACION"
"375273","319592","Disposición","9","","DIRECCION GENERAL DE ADUANAS","2019-02-05","ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS","DELEGACION"
"375274","355565","Decisión Administrativa","993","","JEFATURA DE GABINETE DE MINISTROS","2021-10-20","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","DESIGNACION"
"375275","307533","Decisión Administrativa","275","","JEFATURA DE GABINETE DE MINISTROS","2018-03-07","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","DESIGNACION - APROBACION"
"375276","307997","Decisión Administrativa","339","","JEFATURA DE GABINETE DE MINISTROS","2018-03-20","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","DESIGNACION"
"375276","328005","Resolución","156","","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","2019-09-09","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","DESIGNACION - PRORROGA"
"375277","307998","Decisión Administrativa","341","","JEFATURA DE GABINETE DE MINISTROS","2018-03-20","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","DESIGNACION"
"375277","318117","Resolución","132","","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","2018-12-27","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","DESIGNACION - PRORROGA"
"375278","331777","Decisión Administrativa","930","","JEFATURA DE GABINETE DE MINISTROS","2019-11-15","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","DESIGNACION"
"375279","320146","Decisión Administrativa","105","","JEFATURA DE GABINETE DE MINISTROS","2019-02-22","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","DESIGNACION - APROBACION"
"375280","124097","Ley","26216","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2007-01-15","ARMAS DE FUEGO","DECLARACION EMERGENCIA"
"375280","253684","Ley","27192","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2015-10-22","AGENCIA NACIONAL DE MATERIALES CONTROLADOS","CREACION"
"375282","475","Ley","24076","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1992-06-12","GAS NATURAL","MARCO REGULATORIO - PRIVATIZACION GAS DEL ESTADO"
"375283","267546","Resolución","235","","INSTITUTO NACIONAL DE INVESTIGACION Y DESARROLLO PESQUERO","2016-11-11","MINISTERIO DE AGROINDUSTRIA","PRESENTACION - DESESTIMASE"
"375284","365581","Resolución","620","","MINISTERIO DE DESARROLLO SOCIAL","2022-05-31","MINISTERIO DE DESARROLLO SOCIAL","PROCESO REGIMEN DE VALORACION POR EVALUACION Y MERITO - INICIO"
"375285","352587","Ley","27640","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2021-08-04","BIOCOMBUSTIBLES","MARCO REGULATORIO DE BIOCOMBUSTIBLES"
"375286","554","Ley","24156","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1992-10-29","ADMINISTRACION FINANCIERA Y SISTEMAS DE CONTROL","DISPOSICIONES GENERALES"
"375286","311264","Resolución","100","","SECRETARIA DE HACIENDA","2018-06-06","MINISTERIO DE HACIENDA","REGIMEN DE FACILIDADES DE PAGO Y DEUDAS INCOBRABLES"
"375286","333109","Disposición","24","","CONTADURIA GENERAL DE LA NACION","2019-12-09","MINISTERIO DE HACIENDA","MARCO CONCEPTUAL CONTABLE PARA EL SECTOR PUBLICO NACIONAL"
"375287","348793","Decisión Administrativa","364","","JEFATURA DE GABINETE DE MINISTROS","2021-04-16","MINISTERIO DE EDUCACION","DESIGNACION"
"375287","362133","Resolución","774","","MINISTERIO DE EDUCACION","2022-03-14","MINISTERIO DE EDUCACION","DESIGNACION - PRORROGA"
"375288","361219","Decisión Administrativa","208","","JEFATURA DE GABINETE DE MINISTROS","2022-02-23","MINISTERIO DE EDUCACION","DESIGNACION"
"375290","348446","Decisión Administrativa","294","","JEFATURA DE GABINETE DE MINISTROS","2021-04-05","MINISTERIO DE EDUCACION","DESIGNACION"
"375290","360456","Resolución","342","","MINISTERIO DE EDUCACION","2022-02-03","MINISTERIO DE EDUCACION","DESIGNACION - PRORROGA"
"375291","340767","Disposición","655","","SUBSECRETARIA DE INVESTIGACION CRIMINAL Y COOPERACION JUDICI","2020-08-06","MINISTERIO DE SEGURIDAD","COMISION ASESORA EN MATERIA DE LUCHA CONTRA EL CIBERDELITO"
"375291","365767","Resolución","326","","MINISTERIO DE SEGURIDAD","2022-06-02","MINISTERIO DE SEGURIDAD","COMISION ASESORA EN MATERIA DE LUCHA CONTRA EL CIBERDELITO"
"375292","10769","Decreto","2175","","PODER EJECUTIVO NACIONAL (P.E.N.)","1992-12-01","","TERMINAL DE OMNIBUS-LICITACION PARA PRIVATIZACION-"
"375292","35583","Resolución","859","","MINISTERIO DE ECONOMIA, OBRAS Y SERVICIOS PUBLICOS","1993-08-18","LICITACION-ESTACION TERMINAL DE OMNIBUS RETIRO","HUGO GUERRICO-TEBA UNION TRANSITORIA DE EMPRESAS"
"375292","341064","Resolución","36","","SECRETARIA DE GESTION DE TRANSPORTE","2020-08-13","MINISTERIO DE TRANSPORTE","TEBA SOCIEDAD ANONIMA"
"375294","115035","Resolución","152","","SERVICIO NAC. DE SANIDAD Y CALIDAD AGROALIMENTARIA","2006-03-29","SANIDAD VEGETAL","PLAN DE EMERGENCIA FITOSANITARIA PARA AREAS LIBRES DE MOSCA DE LOS FRUTOS"
"375294","257451","Ley","27233","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2016-01-04","DECLARACION DE INTERES NACIONAL","SANIDAD DE LOS ANIMALES Y VEGETALES"
"375294","363773","Resolución","183","","SERVICIO NAC. DE SANIDAD Y CALIDAD AGROALIMENTARIA","2022-04-20","SERVICIO NACIONAL DE SANIDAD Y CALIDAD AGROALIMENTARIA","MOSCA DE LOS FRUTOS - EMERGENCIA FITOSANITARIA"
"375295","335805","Resolución","29","","SUPERINTENDENCIA DE RIESGOS DEL TRABAJO","2020-03-21","MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL","CORONAVIRUS COVID-19 - MODELO DIGITAL DE AFICHE INFORMATIVO"
"375295","350163","Resolución","30","","SUPERINTENDENCIA DE RIESGOS DEL TRABAJO","2021-05-22","SUPERINTENDENCIA DE RIESGOS DEL TRABAJO","RESOLUCION 29/2020 - MODIFICACION"
"375296","554","Ley","24156","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1992-10-29","ADMINISTRACION FINANCIERA Y SISTEMAS DE CONTROL","DISPOSICIONES GENERALES"
"375296","357026","Resolución","49","Conjunta","SECRETARIA DE HACIENDA","2021-11-23","DEUDA PUBLICA","RESOLUCION CONJUNTA 45/21 - MODIFICACION"
"375296","357026","Resolución","49","Conjunta","SECRETARIA DE FINANZAS","2021-11-23","DEUDA PUBLICA","RESOLUCION CONJUNTA 45/21 - MODIFICACION"
"375297","21841","Ley","18284","","PODER EJECUTIVO NACIONAL (P.E.N.)","1969-07-28","CODIGO ALIMENTARIO ARGENTINO","NORMAS PARA  PRODUCCION, ELABORACION Y CIRCULACION DE ALIMENTOS PARA CONSUMO HUMANO EN TODO EL PAIS"
"375297","209207","Decreto","2126","Reglamentario","PODER EJECUTIVO NACIONAL (P.E.N.)","1971-09-20","CODIGO ALIMENTARIO ARGENTINO","TEXTO ORDENADO Y REGLAMENTACION"
"375304","185806","Resolución","763","","MINISTERIO DE AGRICULTURA GANADERIA Y PESCA","2011-08-23","MINISTERIO DE AGRICULTURA, GANADERIA Y PESCA","LINEAMIENTOS DE ACTIVIDADES QUE INVOLUCREN ORGANISMOS GENETICAMENTE MODIFICADOS"
"375305","458","Ley","24059","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1992-01-17","SEGURIDAD INTERIOR","REGIMEN LEGAL"
"375305","117238","Ley","26102","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2006-06-22","LEY DE SEGURIDAD AEROPORTUARIA","SISTEMA DE SEGURIDAD AEROPORTUARIA"
"375305","285802","Disposición","1088","E","POLICIA DE SEGURIDAD AEROPORTUARIA","2017-11-02","POLICIA DE SEGURIDAD AEROPORTUARIA","REGLAMENTO DE REGISTRO Y CONTROL DE INGRESO, CIRCULACION, PERMANENCIA Y/O SALIDA"
"375306","61912","Comunicación","3052","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2000-01-07","ENTIDADES FINANCIERAS","TEXTO ORDENADO TASAS DE INTERES EN LAS OPERACIONES DE CREDITO"
"375307","372080","Comunicación","7612","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-09-27","ENTIDADES FINANCIERAS","LINEA DE FINANCIAMIENTO PARA LA INVERSION PRODUCTIVA DE MIPYME"
"375307","372464","Comunicación","7615","A","BANCO CENTRAL DE LA REPUBLICA ARGENTINA (B.C.R.A.)","2022-10-03","ENTIDADES FINANCIERAS","LINEA DE FINANCIAMIENTO PARA LA INVERSION PRODUCTIVA DE MIPYME"
"375308","72017","Decreto","214","DNU","PODER EJECUTIVO NACIONAL (P.E.N.)","2002-02-04","REORDENAMIENTO DEL SISTEMA FINANCIERO","NUEVAS MEDIDAS ECONOMICAS - PESIFICACION"
"375308","72099","Resolución","46","","MINISTERIO DE ECONOMIA","2002-02-07","SISTEMA FINANCIERO","REPROGRAMACION DE DEPOSITOS- NUEVOS VENCIMIENTOS"
"375309","91229","Ley","25827","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2003-12-22","PRESUPUESTO GENERAL DE LA ADMINISTRACION NACIONAL","EJERCICIO 2004"
"375310","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375311","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375312","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
