"id_norma_modificatoria","id_norma_modificada","tipo_norma","nro_norma","clase_norma","organismo_origen","fecha_boletin","titulo_sumario","titulo_resumido"
"375048","350604","Decisión Administrativa","539","","JEFATURA DE GABINETE DE MINISTROS","2021-06-03","SUPERINTENDENCIA DE SERVICIOS DE SALUD","DESIGNACION"
"375049","62","Ley","23660","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1989-01-20","OBRAS SOCIALES","NUEVO REGIMEN - APROBACION"
"375049","63","Ley","23661","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1989-01-20","OBRAS SOCIALES","SISTEMA NACIONAL DE SEGURO DE SALUD (ANSSAL)"
"375051","321674","Resolución","4450","GENERAL","ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS","2019-04-01","REGIMEN DE IMPORTACION Y EXPORTACION","PRESTADORES DE SERVICIOS POSTALES PSP/COURIER."
"375053","140098","Ley","26363","","HONORABLE CONGRESO DE LA NACION ARGENTINA","2008-04-30","TRANSITO Y SEGURIDAD VIAL","AGENCIA NACIONAL DE SEGURIDAD VIAL - CREACION"
"375054","255270","Disposición","656","","AGENCIA NACIONAL DE SEGURIDAD VIAL","2015-11-18","MINISTERIO DEL INTERIOR Y TRANSPORTE","TALLER DE REVISION TECNICA OBLIGATORIA DE JURISDICCION LOCAL CONTROL VEHICULAR RIOJANO S.R.L."
"375055","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375056","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
"375057","329998","Resolución","4285","Sintetizada","ENTE NACIONAL DE COMUNICACIONES","2019-10-15","ENTE NACIONAL DE COMUNICACIONES","ACTOS DE CONCURSO - APROBACION"
"375058","46379","Ley","14250","","HONORABLE CONGRESO DE LA NACION ARGENTINA","1953-10-20","CONVENIOS COLECTIVO DE TRABAJO","TRABAJO"
